Κωδικός,Τίτλος,Πρωτότυπο,Κατάσταση μετατροπής,OCR,Σελίδες,Σελίδες χωρίς αναγνώσιμο κείμενο,Χαρακτήρες,Χρειάζεται περαιτέρω μετατροπή,Αιτίες,Ταυτότητα PDF
SRC-A6957B5475,150-XIDIAS-Motion-Planning-Methods(1).pdf,originals/SRC-A6957B5475.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,b2e87034737f2dc2b47f215b8a03be6e811193c287cc4f4d221e3be010deb19f
SRC-5AD59E3C40,2-MASTOROCOSTAS-Fuzzy-neurofuzzy-systems.pdf,originals/SRC-5AD59E3C40.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,4aeea44bb4894aaf5c49e004af594ed67df8c79637fcfc7c7027096326927a36
SRC-93E24C1FC7,463 Symeonidis Intelligent Recommender Systems.pdf,originals/SRC-93E24C1FC7.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,2d8df1d52e8f7d607bd0d3c0b033903a4218415996c38473689b4677503c99f1
SRC-D52DF7B9A4,6.5 Q-learning- Off-policy TD Control - Data Analytics,originals/SRC-D52DF7B9A4.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,ccf858753707af2fe366282d16644b9923f950eadae893b1c030f8f3a95c1b53
SRC-A6616BE773,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,originals/SRC-A6616BE773.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,7987ceacab204bf71831719a365c74e5c8bc6a5572acff4ad5d6e11f6d1ddb1d
SRC-0AEF7EF16A,A Bayesian Approach to Robust Reinforcement Learning - Association for Uncertainty in Artificial Int,originals/SRC-0AEF7EF16A.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,2eba9a7ee133bc51e894a762ad507c7cd01596cbf9b3e9565ee47b4eb2b47f27
SRC-2455B5D0A7,A Comprehensive Survey on Test-Time Adaptation under Distribution Shifts,originals/SRC-2455B5D0A7.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,7fabe56c39dbeec844a39b5ca9d0def0222f2d5edcc25bdcdad5cb37e359afbf
SRC-23A2C07D09,A Formal Verification Framework for Runtime Assurance - NASA Technical Reports Server (NTRS),originals/SRC-23A2C07D09.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,134a3f08303a09bd9bb95fb36c83da5039f8ed1a1d43e7a0da4a49897e54b3c3
SRC-44678B246F,A Review of Fault Tolerance Techniques in Generative Multi-Agent Systems for Real-Time Applications,originals/SRC-44678B246F.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,ea976dd1d020e4f7c67446f817d96a4ce277dc64a58bbda86519b7e91e0bc055
SRC-3A5E2C9E2C,"A Review of Safe Reinforcement Learning: Methods, Theory and Applications",originals/SRC-3A5E2C9E2C.pdf,υπάρχον-markdown-δεν-αντικαταστάθηκε,δεν εκτελέστηκε,,,,δεν αξιολογήθηκε,,a0c0061076b5ec99a6c4469c3fb2aa52165ace5f9d9a3f5640ebc34a32dde7f5
