Κωδικός,Ρόλος,Κατάσταση,Κεφάλαια,Θέματα,Εξαγωγή,Σημείωση
SRC-FE2C0A3E00,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Πειραματικό περιβάλλον; Μετρικές; Threats to validity,gridworld; distribution shift; performance function; benchmark design,ναι,Αιτιολογεί minimal testbed και ανεξάρτητη αξιολόγηση πέρα από το return.
SRC-95C9DAEE68,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Ερευνητικά ερωτήματα; Μεθοδολογία; Μετρικές,non-stationarity; change detection; adaptation; recovery; multiple changes,ναι,Κεντρική πηγή για detection–adaptation decomposition και post-change evaluation.
SRC-81A15E6905,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Μοντέλο αβεβαιότητας; Πειραματικά σενάρια,action failure; action noise; robust MDP; perturbation severity,ναι,Άμεση τεκμηρίωση για αποτυχίες εκτέλεσης ενεργειών και robustness trade-offs.
SRC-3856071502,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Μεθοδολογία,online changepoint detection; Bayesian uncertainty; run length; hazard function,ναι,Υποστηρικτική μέθοδος detection· δεν αποτελεί adaptation ή resilience algorithm.
SRC-0A4AFAC8E9,κύρια,επαληθευμένη,Πειραματικό πρωτόκολλο; Στατιστική ανάλυση; Αναπαραγωγιμότητα; Threats to validity,few-run evaluation; bootstrap confidence intervals; IQM; performance profiles,ναι,Κεντρική πηγή για αξιόπιστη σύγκριση stochastic RL algorithms.
SRC-0882A9B2B0,κύρια,επαληθευμένη,Σχετικές εργασίες; Πειραματικό περιβάλλον; Train-test protocol; Baselines,generalization; interpolation; extrapolation; environment randomization,ναι,Θεμελιώνει controlled in-distribution και out-of-distribution evaluation.
SRC-F909CABDEB,υποστηρικτική,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Μετρικές; Περιορισμοί,continual RL; stability; plasticity; forgetting; transfer; scalability,ναι,"Χρήσιμη survey για scope, metrics και resource-aware continual evaluation."
SRC-A3D907D882,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Σχετικές εργασίες; Πειραματικό περιβάλλον; Perturbation taxonomy; Πρωτόκολλο,observation noise; reward noise; action failure; environment shift; severity; frequency,ναι,Αντιστοιχίζει τις επίσημες διαταραχές σε modular disruptors και ανεξάρτητους πειραματικούς άξονες.
SRC-3EA1176D3A,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Ορισμοί; Robust baselines; Πειραματικά scenarios,robustness; resilience; static uncertainty; dynamic uncertainty; robust MDP; GridWorld,ναι,Κεντρική πηγή για τη διάκριση robustness χωρίς update από resilience μέσω continued learning.
SRC-09DD20BA85,κύρια,επαληθευμένη,Θεωρητικό υπόβαθρο; Observation noise; Μοντέλα; Μετρικές; Trade-offs,observational robustness; stochastic kernel; lexicographic objectives; nominal utility,ναι,Θεμελιώνει bounded robustness και την υποχρεωτική κοινή αναφορά clean utility και disturbed performance.
