method_id,root_id,condition_id,condition_family,primary_recovery_axis,tolerance,status,recovery_time,confirmation_time,censoring_time
dqn,t527-final-r01,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r01,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,192,224,256
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,0.2,recovered,128,160,256
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r02,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r02,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r03,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r03,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r03,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r03,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r03,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r04,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r04,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r04,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,0.05,recovered,32,64,256
dqn,t527-final-r04,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r04,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r05,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r05,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r05,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r05,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r05,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r06,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r06,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r06,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r06,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r06,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r07,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r07,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r07,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r07,action-remap-swap-right-down,action-remap,True,0.05,recovered,64,96,256
dqn,t527-final-r07,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r07,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r07,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r08,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r08,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r08,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r08,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r08,action-remap-swap-right-down,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r08,action-remap-swap-right-down,action-remap,True,0.2,recovered,32,64,256
dqn,t527-final-r08,observation-corruption-0.05,observation-corruption,False,0.05,recovered,32,64,256
dqn,t527-final-r08,observation-corruption-0.05,observation-corruption,False,0.2,recovered,32,64,256
dqn,t527-final-r09,action-failure-0.15,action-failure,False,0.05,recovered,32,64,256
dqn,t527-final-r09,action-failure-0.15,action-failure,False,0.2,recovered,32,64,256
dqn,t527-final-r09,action-remap-cycle-clockwise,action-remap,True,0.05,right-censored,,,256
dqn,t527-final-r09,action-remap-cycle-clockwise,action-remap,True,0.2,recovered,128,160,256
