method_id,root_id,condition_id,condition_family,primary_recovery_axis,window_index,window_start,window_end,nominal_value,disturbed_value,directed_gap,within_tolerance
dqn,t527-final-r01,action-failure-0.15,action-failure,False,0,1,32,-0.03359375,-0.05078125000000003,0.01718750000000003,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,1,33,64,0.0031250000000000015,-0.014062499999999999,0.0171875,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,2,65,96,-0.014062499999999993,-0.031249999999999993,0.0171875,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,3,97,128,-0.014062499999999992,-0.03359375,0.019531250000000007,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,4,129,160,0.0031250000000000015,0.0031250000000000067,-5.204170427930421e-18,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,5,161,192,-0.033593750000000006,-0.03359375000000002,1.3877787807814457e-17,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,6,193,224,-0.018749999999999992,-0.03125000000000001,0.012500000000000015,True
dqn,t527-final-r01,action-failure-0.15,action-failure,False,7,225,256,-0.014062499999999992,-0.014062499999999993,1.734723475976807e-18,True
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.03359375,-0.22890625,0.1953125,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,1,33,64,0.0031250000000000015,-0.21484374999999997,0.21796874999999996,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,2,65,96,-0.014062499999999993,-0.24765625,0.23359375,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.014062499999999992,-0.2265625,0.21250000000000002,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,4,129,160,0.0031250000000000015,-0.21484374999999994,0.21796874999999993,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,5,161,192,-0.033593750000000006,-0.23359374999999996,0.19999999999999996,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,6,193,224,-0.018749999999999992,-0.20546875,0.18671875000000002,False
dqn,t527-final-r01,action-remap-cycle-clockwise,action-remap,True,7,225,256,-0.014062499999999992,-0.20312499999999997,0.18906249999999997,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,0,1,32,-0.03359375,-0.22890625,0.1953125,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,1,33,64,0.0031250000000000015,-0.22890625,0.23203125,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,2,65,96,-0.014062499999999993,-0.2453125,0.23124999999999998,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,3,97,128,-0.014062499999999992,-0.17265625,0.15859375000000003,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,4,129,160,0.0031250000000000015,-0.14453125000000006,0.14765625000000004,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,5,161,192,-0.033593750000000006,-0.1796875,0.14609375,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,6,193,224,-0.018749999999999992,-0.2359375,0.2171875,False
dqn,t527-final-r01,action-remap-swap-right-down,action-remap,True,7,225,256,-0.014062499999999992,-0.23125,0.21718750000000003,False
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,0,1,32,-0.03359375,-0.03593750000000001,0.0023437500000000125,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,1,33,64,0.0031250000000000015,-0.01875,0.021875000000000002,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,2,65,96,-0.014062499999999993,-0.018749999999999992,0.004687499999999999,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,3,97,128,-0.014062499999999992,-0.016406249999999994,0.002343750000000002,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,4,129,160,0.0031250000000000015,0.0007812500000000063,0.002343749999999995,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,5,161,192,-0.033593750000000006,-0.03125,-0.0023437500000000056,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,6,193,224,-0.018749999999999992,0.003125000000000007,-0.021875,True
dqn,t527-final-r01,observation-corruption-0.05,observation-corruption,False,7,225,256,-0.014062499999999992,-0.03359375,0.019531250000000007,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,0,1,32,-0.03125000000000001,-0.050781250000000035,0.019531250000000028,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,1,33,64,-0.031249999999999993,-0.03125,6.938893903907228e-18,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,2,65,96,0.0007812500000000046,-0.031250000000000014,0.03203125000000002,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,3,97,128,-0.031249999999999993,-0.031249999999999997,3.469446951953614e-18,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,4,129,160,0.0007812500000000089,-0.031249999999999993,0.032031250000000004,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,5,161,192,-0.0015624999999999944,-0.03359374999999999,0.03203125,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,6,193,224,-0.031249999999999993,0.003125000000000007,-0.034375,True
dqn,t527-final-r02,action-failure-0.15,action-failure,False,7,225,256,-0.0015624999999999997,-0.03359375000000002,0.03203125000000002,True
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.03125000000000001,-0.2265625,0.1953125,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,1,33,64,-0.031249999999999993,-0.22421874999999997,0.19296874999999997,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,2,65,96,0.0007812500000000046,-0.1890625,0.18984375,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.031249999999999993,-0.23593750000000002,0.20468750000000002,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,4,129,160,0.0007812500000000089,-0.23124999999999996,0.23203124999999997,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,5,161,192,-0.0015624999999999944,-0.21953124999999996,0.21796874999999996,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,6,193,224,-0.031249999999999993,-0.17500000000000004,0.14375000000000004,False
dqn,t527-final-r02,action-remap-cycle-clockwise,action-remap,True,7,225,256,-0.0015624999999999997,-0.19609374999999996,0.19453124999999996,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,0,1,32,-0.03125000000000001,-0.18203124999999998,0.15078124999999998,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,1,33,64,-0.031249999999999993,-0.16562500000000002,0.13437500000000002,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,2,65,96,0.0007812500000000046,-0.20312499999999997,0.20390624999999998,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,3,97,128,-0.031249999999999993,-0.14453125000000006,0.11328125000000006,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,4,129,160,0.0007812500000000089,-0.17031250000000003,0.17109375000000004,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,5,161,192,-0.0015624999999999944,-0.15625,0.1546875,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,6,193,224,-0.031249999999999993,-0.17265625,0.14140625,False
dqn,t527-final-r02,action-remap-swap-right-down,action-remap,True,7,225,256,-0.0015624999999999997,-0.17031250000000003,0.16875000000000004,False
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,0,1,32,-0.03125000000000001,-0.03125000000000001,0.0,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,1,33,64,-0.031249999999999993,-0.031249999999999993,0.0,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,2,65,96,0.0007812500000000046,-0.016406249999999997,0.0171875,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,3,97,128,-0.031249999999999993,-0.014062499999999992,-0.0171875,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,4,129,160,0.0007812500000000089,0.0031250000000000015,-0.0023437499999999925,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,5,161,192,-0.0015624999999999944,-0.03593750000000001,0.03437500000000002,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,6,193,224,-0.031249999999999993,0.003125000000000001,-0.034374999999999996,True
dqn,t527-final-r02,observation-corruption-0.05,observation-corruption,False,7,225,256,-0.0015624999999999997,-0.0359375,0.034374999999999996,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,0,1,32,-0.06562500000000002,-0.06562500000000004,2.7755575615628914e-17,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,1,33,64,-0.05781250000000002,-0.07031250000000003,0.012500000000000011,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,2,65,96,-0.06562500000000002,-0.06562500000000002,0.0,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,3,97,128,-0.05078125000000002,-0.06562500000000003,0.01484375000000001,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,4,129,160,-0.04843750000000002,-0.06562500000000003,0.01718750000000001,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,5,161,192,-0.06562500000000002,-0.06562500000000003,1.3877787807814457e-17,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,6,193,224,-0.04843750000000002,-0.06562500000000002,0.017187499999999994,True
dqn,t527-final-r03,action-failure-0.15,action-failure,False,7,225,256,-0.04843750000000002,-0.06562500000000002,0.017187499999999994,True
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,0,1,32,-0.06562500000000002,-0.19374999999999998,0.12812499999999996,False
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,1,33,64,-0.05781250000000002,-0.221875,0.16406249999999997,False
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,2,65,96,-0.06562500000000002,-0.21953124999999998,0.15390624999999997,False
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,3,97,128,-0.05078125000000002,-0.18671875000000004,0.13593750000000002,False
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,4,129,160,-0.04843750000000002,-0.2125,0.16406249999999997,False
dqn,t527-final-r03,action-remap-cycle-clockwise,action-remap,True,5,161,192,-0.06562500000000002,-0.23124999999999996,0.16562499999999994,False
